utility_variant,model,mean_regret,top1_acc,selected_success_rate
success_only,B0_baserate,0.3333333333333333,0.6666666666666666,0.6666666666666666
success_only,B1_static,0.3333333333333333,0.6666666666666666,0.6666666666666666
success_only,B2_mean,0.3333333333333333,0.6666666666666666,0.6666666666666666
success_only,B2_deepsets,0.3333333333333333,0.6666666666666666,0.6666666666666666
success_only,B2_gru,0.3333333333333333,0.6666666666666666,0.6666666666666666
success_only,OracleZ,0.3333333333333333,0.6666666666666666,0.6666666666666666
success_error,B0_baserate,0.3976108332475026,0.6666666666666666,0.6666666666666666
success_error,B1_static,0.40226345757643384,0.0,0.6666666666666666
success_error,B2_mean,0.40226345757643384,0.0,0.6666666666666666
success_error,B2_deepsets,0.39805073539415997,0.3333333333333333,0.6666666666666666
success_error,B2_gru,0.39805073539415997,0.3333333333333333,0.6666666666666666
success_error,OracleZ,0.40226345757643384,0.0,0.6666666666666666
full,B0_baserate,0.4804301108440476,0.3333333333333333,0.6666666666666666
full,B1_static,0.5802827351727441,0.3333333333333333,0.6666666666666666
full,B2_mean,0.5802827351727441,0.3333333333333333,0.6666666666666666
full,B2_deepsets,0.0,1.0,1.0
full,B2_gru,0.0,1.0,1.0
full,OracleZ,0.5802827351727441,0.3333333333333333,0.6666666666666666
