model,K,auroc,brier,mean_regret,top1_acc,selected_success_rate
B1_static,0,0.5357142857142857,0.2762203691314984,0.5802827351727441,0.3333333333333333,0.6666666666666666
B1_static,1,0.5357142857142857,0.2762203691314984,0.5802827351727441,0.3333333333333333,0.6666666666666666
B1_static,2,0.5357142857142857,0.2762203691314984,0.5802827351727441,0.3333333333333333,0.6666666666666666
B1_static,3,0.5357142857142857,0.2762203691314984,0.5802827351727441,0.3333333333333333,0.6666666666666666
B2_mean,0,0.5357142857142857,0.2762203691314984,0.5802827351727441,0.3333333333333333,0.6666666666666666
B2_mean,1,0.7142857142857142,0.2241862134872479,0.5802827351727441,0.3333333333333333,0.6666666666666666
B2_mean,2,0.6964285714285714,0.21005545446706977,0.5802827351727441,0.3333333333333333,0.6666666666666666
B2_mean,3,0.6964285714285714,0.2098412431455772,0.5802827351727441,0.3333333333333333,0.6666666666666666
B2_deepsets,0,0.9464285714285714,0.09682302213520276,0.3808741852939117,0.6666666666666666,0.6666666666666666
B2_deepsets,1,0.9107142857142857,0.07167506896170332,0.0,1.0,1.0
B2_deepsets,2,0.8928571428571428,0.08070622976596914,0.0,1.0,1.0
B2_deepsets,3,0.8928571428571428,0.0762416658324991,0.0,1.0,1.0
B2_gru,0,0.9821428571428571,0.04884143029411666,0.0,1.0,1.0
B2_gru,1,0.8928571428571428,0.06931881724386096,0.006552610929799492,0.6666666666666666,1.0
B2_gru,2,0.875,0.07482560279689238,0.0,1.0,1.0
B2_gru,3,0.8928571428571428,0.06919489364363557,0.0,1.0,1.0
