utility_variant,model,mean_regret,top1_acc,selected_success_rate
success_only,B0_baserate,0.0,1.0,1.0
success_only,B1_static,0.0,1.0,1.0
success_only,B2_mean,0.0,1.0,1.0
success_only,B2_deepsets,0.0,1.0,1.0
success_only,B2_gru,0.0,1.0,1.0
success_only,OracleZ,0.0,1.0,1.0
success_error,B0_baserate,0.005176479617754619,0.0,1.0
success_error,B1_static,0.005176479617754619,0.0,1.0
success_error,B2_mean,0.005176479617754619,0.0,1.0
success_error,B2_deepsets,0.0,1.0,1.0
success_error,B2_gru,0.0,1.0,1.0
success_error,OracleZ,0.005176479617754619,0.0,1.0
full,B0_baserate,0.02632942792837425,0.0,1.0
full,B1_static,0.02632942792837425,0.0,1.0
full,B2_mean,0.02114376458192852,0.1111111111111111,1.0
full,B2_deepsets,4.5063675773405874e-05,0.8888888888888888,1.0
full,B2_gru,4.5063675773405874e-05,0.8888888888888888,1.0
full,OracleZ,0.02114376458192852,0.1111111111111111,1.0
