bin_lo,bin_hi,bin_center,n_episodes,n_blocks,n_success,n_failure,success_rate,ci_low,ci_high,failure_reasons,failure_phases
0.0,0.005,0.0025,18,18,18,0,1.0,1.0,1.0,{},{}
0.005,0.01,0.0075,26,18,26,0,1.0,1.0,1.0,{},{}
0.01,0.015,0.0125,28,18,28,0,1.0,1.0,1.0,{},{}
0.015,0.02,0.0175,36,18,36,0,1.0,1.0,1.0,{},{}
0.02,0.025,0.0225,36,18,36,0,1.0,1.0,1.0,{},{}
0.025,0.03,0.0275,36,18,36,0,1.0,1.0,1.0,{},{}
0.03,0.035,0.0325,36,18,31,5,0.8611,0.75,0.9444,"{""HANDLE_DETACHED"": 5}","{""PULL"": 5}"
0.035,0.04,0.0375,28,18,0,28,0.0,0.0,0.0,"{""HANDLE_DETACHED"": 25, ""POSITION_TIMEOUT"": 3}","{""PULL"": 25, ""APPROACH"": 3}"
0.04,0.045,0.0425,26,18,0,26,0.0,0.0,0.0,"{""POSITION_TIMEOUT"": 26}","{""APPROACH"": 26}"
0.045,0.05,0.0475,18,18,0,18,0.0,0.0,0.0,"{""POSITION_TIMEOUT"": 18}","{""APPROACH"": 18}"
0.05,0.055,0.0525,10,10,0,10,0.0,0.0,0.0,"{""POSITION_TIMEOUT"": 10}","{""APPROACH"": 10}"
0.055,0.06,0.0575,8,8,0,8,0.0,0.0,0.0,"{""POSITION_TIMEOUT"": 5, ""HANDLE_DETACHED"": 3}","{""APPROACH"": 5, ""PULL"": 3}"
