block,residual_bias_y,nominal_bias_y,best_offset,n_success_of_17,oracle_success,best_single_success
0,-0.0063,0.0,0.01,12,1,1
1,-0.00143,0.0,0.0,12,1,1
2,0.00397,0.0,0.0,12,1,1
3,0.00519,0.0,-0.01,11,1,1
4,0.00923,0.0,-0.01,12,1,1
5,0.00418,0.0,0.0,12,1,1
6,0.00657,0.0,-0.01,12,1,1
7,-0.00208,0.0,0.0,12,1,1
8,-0.00149,0.0,0.0,12,1,1
9,-0.00177,0.0,0.0,12,1,1
10,-0.00428,0.0,0.0,11,1,1
11,0.00525,0.0,-0.01,11,1,1
12,0.00382,0.0,0.0,12,1,1
13,-0.00109,0.0,0.0,12,1,1
14,-0.00639,0.0,0.01,12,1,1
15,-0.00518,0.0,0.01,11,1,1
16,-0.00672,0.0,0.01,12,1,1
17,0.00046,0.0,0.0,11,1,1
